onset	duration
35.9	0.05
38.9	0.05
41.9	0.05
44.9	0.05
47.9	0.05
50.9	0.05
53.9	0.05
56.9	0.05
59.9	0.05
62.9	0.05
101.9	0.05
104.9	0.05
107.9	0.05
110.9	0.05
113.9	0.05
116.9	0.05
119.9	0.05
122.9	0.05
125.9	0.05
128.9	0.05
167.9	0.05
170.9	0.05
173.9	0.05
176.9	0.05
179.9	0.05
182.9	0.05
185.9	0.05
188.9	0.05
191.9	0.05
194.9	0.05
233.9	0.05
236.9	0.05
239.9	0.05
242.9	0.05
245.9	0.05
248.9	0.05
251.9	0.05
254.9	0.05
257.9	0.05
260.9	0.05
299.9	0.05
302.9	0.05
305.9	0.05
308.9	0.05
311.9	0.05
314.9	0.05
317.9	0.05
320.9	0.05
323.9	0.05
326.9	0.05
365.9	0.05
368.9	0.05
371.9	0.05
374.9	0.05
377.9	0.05
380.9	0.05
383.9	0.05
386.9	0.05
389.9	0.05
392.9	0.05
431.9	0.05
434.9	0.05
437.9	0.05
440.9	0.05
443.9	0.05
446.9	0.05
449.9	0.05
452.9	0.05
455.9	0.05
458.9	0.05
497.9	0.05
500.9	0.05
503.9	0.05
506.9	0.05
509.9	0.05
512.9	0.05
515.9	0.05
518.9	0.05
521.9	0.05
524.9	0.05
563.9	0.05
566.9	0.05
569.9	0.05
572.9	0.05
575.9	0.05
578.9	0.05
581.9	0.05
584.9	0.05
587.9	0.05
590.9	0.05
629.9	0.05
632.9	0.05
635.9	0.05
638.9	0.05
641.9	0.05
644.9	0.05
647.9	0.05
650.9	0.05
653.9	0.05
656.9	0.05
695.9	0.05
